Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen,The character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas is Aubrey Posen.,,The character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas is Aubrey Posen.,115,2.227312326,
"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",Nusretiye Mosque,The Nusretiye Mosque is unique for retaining a Baroque style of architecture.,,The Nusretiye Mosque is unique for retaining a Baroque style of architecture.,102,3.564618587,
What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater,George Balanchine did not found a production company to create a live stage version of the 1942 film *Casablanca*.,,"George Balanchine, a renowned ballet choreographer, did not found a production company to create a live stage version of the 1942 film *Casablanca*.",127,2.883385897,
"What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? ",Tampa,"Tampa is the largest city in Hillsborough County, Florida, that Lettuce Lake Park is just outside of.",,"Tampa is the largest city in Hillsborough County, Florida, that Lettuce Lake Park is just outside of.",107,3.535958052,
Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,Montejo v. Louisiana,*Montejo v. Louisiana* involved a waiver of the right to counsel.,,*Montejo v. Louisiana* involved a waiver of the right to counsel.,95,3.327221394,
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn,"Matthew Vaughn produced the 1998 British comedy *Lock, Stock and Two Smoking Barrels* starring Dexter Fletcher.",,"Matthew Vaughn produced the 1998 British comedy *Lock, Stock and Two Smoking Barrels*.",102,2.153767109,
"In what year was the band, whose bassist joined Arvas in 1996, formed?",1992,"The band whose bassist joined Arvas in 1996, Carpathian Forest, was formed in 1990.",,"The band whose bassist joined Arvas in 1996, Carpathian Forest, was formed in 1990.",107,15.99219918,
Which company does Timothy Oulton retail his products through that is based in Corte Madera?,Restoration Hardware,"Timothy Oulton retails his products through RH (Restoration Hardware), which is based in Corte Madera.",,"Timothy Oulton retails his products through RH (Restoration Hardware), which is based in Corte Madera.",103,1.910655022,
In between Atsushi Ogata and Ralph Smart who graduated from Harvard College?,Atsushi Ogata,Ralph Smart graduated from Harvard College.,,Ralph Smart graduated from Harvard College.,68,11.92160726,
The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,The owner of radio station KWPW has the same name as American character actor Bob Crane.,,The owner of radio station KWPW has the same name as American character actor Bob Crane.,97,2.610200644,
What game did the team with an 11-1 regular season record play in for the BCS title game?,2004 Nokia Sugar Bowl,"The team with an 11-1 regular season record that played in the BCS title game was the Ohio State Buckeyes, and they played in the 2007 BCS National Championship Game.",,The team with an 11-1 regular season record played in the 2007 BCS National Championship Game.,123,3.243189096,
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",The Panther,"The Panther medium tank, sometimes called the ""Mark V"", provided the armor and suspension for the chassis of the Jagdpanther tank destroyer.",,"The Panther medium tank, sometimes called the ""Mark V"", provided the armor and suspension for the chassis of the Jagdpanther tank destroyer.",142,3.830751896,
Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas,"Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in Dallas, Texas, in 1907.",,"Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in Dallas, Texas, in 1907.",130,1.824223518,
Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?,My Cat from Hell,"The show that premiered in May 2011 and is hosted by someone with the birth name Richard Kirschner (Richard Belzer) is ""Richard Belzer's Childhood Exposed.""",,"The show that premiered in May 2011 and is hosted by someone with the birth name Richard Kirschner (Richard Belzer) is ""Richard Belzer's Childhood Exposed.""",133,2.604602814,
"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of where?",Scotland,"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of the Shetland Islands.",,"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of the Shetland Islands.",139,5.351971388,
Do the bands named Phoenix and Shearwater specialize in the exact same genre?,no,"No, the bands named Phoenix and Shearwater do not specialize in the exact same genre.",,"No, the bands Phoenix and Shearwater do not specialize in the exact same genre, as Phoenix is primarily known for indie pop and alternative rock, while Shearwater is known for indie rock and art rock.",115,3.316678047,
"Which former American football player had a part in the movie ""Gamer?""",Terry Crews,"Former American football player Terry Crews had a part in the movie ""Gamer.""",,"Former American football player Terry Crews had a part in the movie ""Gamer.""",86,2.314234734,
"North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in what month?",11-Aug,"North Blenheim, New York was destroyed by flooding caused by a hurricane that landed in August.",,"North Blenheim, New York was destroyed by flooding caused by a hurricane that landed in August.",95,2.948941469,
"Who is older, Ivan Foster or Ian Paisley?",Ian Paisley,Ian Paisley is older.,,"Ian Paisley, born on April 6, 1926, is older than Ivan Foster, who was born on February 13, 1943.",86,2.834133387,
"The founder of this Canadian owned, American manufacturer of business jets for civilian and military developed this portable tape system.",8-track,I have no idea.,,"The founder of Bombardier, Joseph-Armand Bombardier, developed the portable tape system.",85,2.688828707,
"Which American rock band was formed first, Soil or Drowning Pool?",Drowning Pool,Drowning Pool was formed first.,,"Drowning Pool was formed in 1996, while Soil was formed in 1997, making Drowning Pool the band formed first.",86,2.913216829,
What artistic endeavor do Fallujah and Dying Fetus have in common?,death metal band,Fallujah and Dying Fetus are both death metal bands.,,Fallujah and Dying Fetus are both death metal bands.,81,2.239259481,
"Which Star of British-Canadian-American satirical comedy, co starting with Ricky Gervais, began his career in sketch comedy series""Full Frontal"" ?",Eric Banadinović,"Stephen Merchant began his career in sketch comedy series ""Full Frontal"" before co-starring with Ricky Gervais.",,"Stephen Merchant, a British comedian who co-starred with Ricky Gervais, did not begin his career in the Australian sketch comedy series ""Full Frontal.""",125,3.047141314,
Kevin Watson currently manages which Southern League football team?,Bishop's Stortford,Kevin Watson currently manages Cray Valley Paper Mills.,,"Kevin Watson currently manages Cray Valley Paper Mills, who play in the Isthmian League South East Division, not the Southern League.",85,3.408823252,
What New York representative and politician was defeated by Alan Hevesi in 2002?,John Faso,Andrew Cuomo was defeated by Alan Hevesi in the 2002 New York State Comptroller election.,,Andrew Cuomo was defeated by Alan Hevesi in the 2002 New York State Comptroller election.,99,2.422006607,
"What mixed martial arts even took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts?",The War of '04,"Ultimate Fighting Championship 30: Battle on the Boardwalk took place at the Trump Taj Mahal in Atlantic City, which was owned by Trump Entertainment Resorts.",,"Ultimate Fighting Championship 30: Battle on the Boardwalk took place at the Trump Taj Mahal in Atlantic City, which was owned by Trump Entertainment Resorts.",127,2.224815369,
Li Yitong made her television debut on which network?,Dragon TV,Li Yitong made her television debut on Hunan Satellite TV.,,Li Yitong made her television debut on Hunan Satellite TV.,77,1.334610224,
Who manufactured the scooter upon which the Bajaj Priya was based off of?,Piaggio,"The Bajaj Priya was based off of the Vespa Super, which was manufactured by Piaggio.",,"The Bajaj Priya was based on the Vespa Super, which was manufactured by Piaggio.",97,2.269785404,
